Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot113,"Shane Hruska",normal,8,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:25:41","17:25:48",
Bot113,"Shane Hruska",normal,8,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:25:53","17:26:21",
Bot114,"John Bushong",normal,9,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:25:42","17:25:48",
Bot114,"John Bushong",normal,9,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:25:53","17:26:54",
Bot115,"Jake Quarterman",normal,1,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","17:25:43","17:26:43",
Bot116,"Filimon Sukin",normal,15,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:25:44","17:26:00",
Bot116,"Filimon Sukin",normal,15,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:26:05","17:28:00",
Bot117,"Arkady Lachinov",normal,8,Failed,"Capital Insight","Capital Insight: Objective #5","1","17:25:45","17:26:23",
