Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Grigoryi Obolensky",normal,4,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:15:59","15:18:56",
Bot2,"Foma Ustimovich",normal,7,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:16:00","15:19:07",
Bot3,"Anatoly Potyomkin",normal,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:16:01","15:16:08",
Bot3,"Anatoly Potyomkin",normal,10,Failed,"Skyside Hotel","Skyside Hotel: Objective #4","1","15:16:14","15:18:27",
Bot4,"Panteley Kurepin",normal,8,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","15:16:02","15:19:45",
Bot4,"Panteley Kurepin",normal,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","15:19:50","15:20:29",
Bot4,"Panteley Kurepin",normal,8,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","15:20:34","15:20:49",
Bot4,"Panteley Kurepin",normal,8,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","15:20:54","15:20:58",
Bot4,"Panteley Kurepin",normal,8,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","15:21:03","15:23:48",
Bot5,"Vyacheslav Rybakov",normal,10,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","15:16:04","15:16:13",
Bot5,"Vyacheslav Rybakov",normal,10,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","15:23:48","15:24:12",
Bot6,"Dominick Monzon",normal,9,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","15:16:04","15:16:10",
Bot6,"Dominick Monzon",normal,9,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","15:16:15","15:16:43",
Bot18,"Elizar Tsyganov",normal,4,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","15:21:10","15:21:10",
Bot18,"Elizar Tsyganov",normal,4,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","15:21:15","15:21:22",
Bot18,"Elizar Tsyganov",normal,4,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","15:21:27","15:25:43",
Bot19,"Valentin Osintsev",normal,3,Failed,"Tarbank","Tarbank: Objective #6","1","15:21:10","15:25:43",
