Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot88,"Aristarch Voskresensky",normal,2,Failed,"Stage Wagon","Stage Wagon: Objective #1","1","16:49:36","16:50:37",
Bot88,"Aristarch Voskresensky",normal,2,Completed,"Long Road Bus Crash","Long Road Bus Crash: Objective #1","1","16:50:43","16:51:20",
Bot88,"Aristarch Voskresensky",normal,2,Failed,"Stage Sniping","Stage Sniping: Objective #4","1","16:51:25","16:52:21",
Bot89,"Jarrod Pasley",normal,4,Pending,"Long Road Sniping","Long Road Sniping: Objective #3","1","16:49:38","N/A",
Bot89,"Jarrod Pasley",normal,4,Completed,"Long Road Sniping","Long Road Sniping: Objective #1","2","16:49:53","16:51:23",
Bot89,"Jarrod Pasley",normal,4,Completed,"Long Road Sniping","Long Road Sniping: Objective #2","2","16:51:28","16:53:41",
Bot89,"Jarrod Pasley",normal,4,Completed,"Tennis Courts","Tennis Courts: Objective #3","1","16:53:46","16:55:24",
Bot89,"Jarrod Pasley",normal,4,Completed,"Tennis Courts","Tennis Courts: Objective #1","1","16:55:29","16:55:46",
Bot89,"Jarrod Pasley",normal,4,Archived,"Long Road Bus Crash","Long Road Bus Crash: Objective #1","1","16:55:52","16:56:57",
Bot89,"Jarrod Pasley",normal,4,Completed,"Tennis Courts","Tennis Courts: Objective #2","1","16:57:02","16:59:15",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet Remote Building","Chalet Remote Building: Objective #1","1","16:59:20","17:01:15",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet Kayak Storage","Chalet Kayak Storage: Objective #1","1","17:01:20","17:02:45",
Bot89,"Jarrod Pasley",normal,4,Failed,"Long Road Pond Camp","Long Road Pond Camp: Objective #1","1","17:02:50","17:04:20",
Bot89,"Jarrod Pasley",normal,4,Failed,"Resort Garage","Resort Garage: Objective #1","1","17:04:25","17:05:47",
Bot89,"Jarrod Pasley",normal,4,Pending,"Chalet","Chalet: Objective #1","1","17:05:52","N/A",
Bot89,"Jarrod Pasley",normal,4,Pending,"Chalet","Chalet: Objective #8","1","17:07:04","N/A",
Bot89,"Jarrod Pasley",normal,4,Pending,"Chalet","Chalet: Objective #4","1","17:07:24","N/A",
Bot89,"Jarrod Pasley",normal,4,Pending,"Chalet","Chalet: Objective #2","1","17:08:05","N/A",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet","Chalet: Objective #9","1","17:08:25","17:08:40",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet","Chalet: Objective #7","1","17:08:45","17:08:54",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet","Chalet: Objective #5","1","17:08:59","17:09:05",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet","Chalet: Objective #3","1","17:09:10","17:09:30",
Bot89,"Jarrod Pasley",normal,4,Completed,"Chalet","Chalet: Objective #6","1","17:09:35","17:10:13",
Bot89,"Jarrod Pasley",normal,4,Failed,"Long Road Construction","Long Road Construction: Objective #1","1","17:10:18","17:10:46",
Bot89,"Jarrod Pasley",normal,4,Failed,"Long Road Construction","Long Road Construction: Objective #2","1","17:10:51","17:10:51",
Bot89,"Jarrod Pasley",normal,4,Failed,"Long Road Construction","Long Road Construction: Objective #3","1","17:10:56","17:11:05",
Bot89,"Jarrod Pasley",normal,4,Failed,"Long Road Construction","Long Road Construction: Objective #4","1","17:11:10","17:11:13",
Bot89,"Jarrod Pasley",normal,4,Failed,"Resort","Resort: Objective #1","1","17:11:18","17:11:22",
Bot89,"Jarrod Pasley",normal,4,Failed,"Resort","Resort: Objective #6","1","17:11:27","17:11:36",
Bot89,"Jarrod Pasley",normal,4,Failed,"Resort","Resort: Objective #5","1","17:11:42","17:11:47",
Bot89,"Jarrod Pasley",normal,4,Failed,"Resort","Resort: Objective #2","1","17:11:52","17:11:58",
Bot90,"Cecil Navarrette",normal,2,Failed,"Long Road Pond Camp","Long Road Pond Camp: Objective #1","1","16:49:39","17:12:49",
Bot90,"Cecil Navarrette",normal,2,Active,"Chalet Kayak Storage","Chalet Kayak Storage: Objective #1","1","17:12:54","N/A",
Bot91,"Max Tengan",normal,12,Failed,"Broadcast - Part 1","Zone qlight_extension_mechanik1_exploration1","1","16:49:40","16:50:56",
Bot91,"Max Tengan",normal,12,Completed,"Make Amends","Item Secure Flash drive V3","1","16:50:58","16:53:45",
Bot91,"Max Tengan",normal,12,Failed,"Broadcast - Part 1","Zone qlight_extension_mechanik1_hide1","1","16:53:50","17:06:45",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Entrance","USEC Camp Entrance: Objective #1","4","16:55:54","17:00:18",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Entrance Tents","USEC Camp Entrance Tents: Objective #2","1","17:00:23","17:00:52",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Entrance Tents","USEC Camp Entrance Tents: Objective #3","1","17:00:57","17:01:08",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Entrance Tents","USEC Camp Entrance Tents: Objective #4","1","17:01:13","17:01:34",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Entrance Tents","USEC Camp Entrance Tents: Objective #1","1","17:01:39","17:02:02",
Bot91,"Max Tengan",normal,12,Completed,"Scav Hideout","Scav Hideout: Objective #1","1","17:02:07","17:03:31",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Building 1","USEC Camp Building 1: Objective #1","1","17:03:36","17:04:32",
Bot91,"Max Tengan",normal,12,Completed,"USEC Camp Building 1","USEC Camp Building 1: Objective #3","1","17:04:37","17:04:51",
Bot91,"Max Tengan",normal,12,Failed,"USEC Camp Building 1","USEC Camp Building 1: Objective #2","1","17:04:56","17:06:45",
Bot108,"Buster Spohn",normal,25,Completed,"Resort Overlook","Resort Overlook: Objective #3","1","16:49:58","16:50:16",
Bot108,"Buster Spohn",normal,25,Completed,"Resort Front Yard","Resort Front Yard: Objective #1","1","16:50:21","16:50:44",
Bot108,"Buster Spohn",normal,25,Completed,"Resort Front Yard","Resort Front Yard: Objective #2","2","16:50:49","16:56:14",
Bot108,"Buster Spohn",normal,25,Completed,"Long Road","Zone qlight_br_secure_road","1","16:56:19","16:57:21",
Bot108,"Buster Spohn",normal,25,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","16:57:26","16:57:53",
Bot108,"Buster Spohn",normal,25,Completed,"Merin Car","Merin Car: Objective #1","1","16:57:58","16:58:59",
Bot108,"Buster Spohn",normal,25,Completed,"Long Road Construction","Long Road Construction: Objective #1","1","16:59:04","16:59:16",
Bot108,"Buster Spohn",normal,25,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","16:59:21","16:59:31",
Bot108,"Buster Spohn",normal,25,Completed,"Long Road Construction","Long Road Construction: Objective #4","1","16:59:36","16:59:51",
Bot108,"Buster Spohn",normal,25,Completed,"Long Road Construction","Long Road Construction: Objective #3","1","16:59:56","17:00:03",
Bot108,"Buster Spohn",normal,25,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","17:00:08","17:00:54",
Bot108,"Buster Spohn",normal,25,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz2","1","17:00:59","17:02:04",
Bot108,"Buster Spohn",normal,25,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz1","1","17:02:09","17:02:34",
